date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-06-10,GHCND:USW00014764,30,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",193,"H,,S,",244,",,W,2400",111,",,W,2400",170,",,W,",170,",,W,",94,",,W,",130,",,W,",,,,,,,,
2017-06-11,GHCND:USW00014764,38,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",237,"H,,S,",328,",,W,2400",183,",,W,2400",200,",,W,",180,",,W,",94,",,W,",130,",,W,",,,,,,,,
2017-06-12,GHCND:USW00014764,30,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",268,"H,,S,",317,",,W,2400",189,",,W,2400",160,",,W,",180,",,W,",94,",,W,",116,",,W,",,,,,,,,
2017-06-13,GHCND:USW00014764,40,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",275,"H,,S,",328,",,W,2400",183,",,W,2400",340,",,W,",350,",,W,",89,",,W,",130,",,W,",,,,,,,,
2017-06-14,GHCND:USW00014764,31,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",201,"H,,S,",244,",,W,2400",111,",,W,2400",290,",,W,",270,",,W,",76,",,W,",116,",,W,",,,,,,,,
2017-06-15,GHCND:USW00014764,34,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",152,"H,,S,",200,",,W,2400",83,",,W,2400",160,",,W,",150,",,W,",81,",,W,",107,",,W,",,,,,,,,
2017-06-16,GHCND:USW00014764,38,",,W,",104,",,W,2400",0,",,W,",0,",,W,2400",147,"H,,S,",161,",,W,2400",133,",,W,2400",160,",,W,",150,",,W,",76,",,W,",121,",,W,",1,",,W,",,,,,,
2017-06-17,GHCND:USW00014764,18,",,W,",5,",,W,2400",0,",,W,",0,",,W,2400",161,"H,,S,",217,",,W,2400",133,",,W,2400",90,",,W,",270,",,W,",40,",,W,",81,",,W,",1,",,W,",,,,,,
2017-06-18,GHCND:USW00014764,34,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",192,"H,,S,",250,",,W,2400",156,",,W,2400",180,",,W,",170,",,W,",63,",,W,",134,",,W,",1,",,W,",1,",,W,",,,,
2017-06-19,GHCND:USW00014764,40,",,W,",84,",,W,2400",0,",,W,",0,",,W,2400",214,"H,,S,",272,",,W,2400",183,",,W,2400",180,",,W,",170,",,W,",103,",,W,",157,",,W,",1,",,W,",,,1,",,W,",,
2017-06-20,GHCND:USW00014764,41,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",212,"H,,S,",283,",,W,2400",178,",,W,2400",280,",,W,",160,",,W,",81,",,W,",125,",,W,",1,",,W,",,,,,,
2017-06-21,GHCND:USW00014764,39,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",224,"H,,S,",278,",,W,2400",156,",,W,2400",290,",,W,",280,",,W,",98,",,W,",130,",,W,",,,,,,,,
2017-06-22,GHCND:USW00014764,27,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",211,"H,,S,",278,",,W,2400",122,",,W,2400",300,",,W,",290,",,W,",76,",,W,",98,",,W,",,,,,,,,
2017-06-23,GHCND:USW00014764,26,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",186,"H,,S,",233,",,W,2400",156,",,W,2400",190,",,W,",180,",,W,",76,",,W,",116,",,W,",1,",,W,",,,,,1,",,W,"
2017-06-24,GHCND:USW00014764,38,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",232,"H,,S,",294,",,W,2400",183,",,W,2400",320,",,W,",330,",,W,",94,",,W,",130,",,W,",1,",,W,",,,,,,
2017-06-25,GHCND:USW00014764,34,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",225,"H,,S,",278,",,W,2400",150,",,W,2400",280,",,W,",180,",,W,",89,",,W,",112,",,W,",,,,,,,,
